jurisdiction,document,filepath,filesize,hash_sha256,source_url,priority,phase,downloaded
germany,Mietpreisbremse (Rent Brake Act),/home/setup/if-legal-corpus/raw/germany/housing/Mietpreisbremse_Rent_Brake_Act.html,139113,1243d31d3bcac39abb32af0d55ac97a5ca187e02c532b591e7ab248702ef1535,https://www.bundesregierung.de/breg-de/themen/miete/mietpreisbremse-1821558,P0,phase2,2025-11-28T05:07:33.147851
germany,Betriebskostenverordnung (Operating Costs Regulation),/home/setup/if-legal-corpus/raw/germany/housing/Betriebskostenverordnung_Operating_Costs_Regulation.html,5400,19f138bfa1174c91629460460056c0b16d97a405e053eda5d8af111513f41a35,https://www.gesetze-im-internet.de/betrkv/,P0,phase2,2025-11-28T05:07:33.179675
germany,German Property Transfer Tax Act (Grunderwerbsteuergesetz),/home/setup/if-legal-corpus/raw/germany/housing/German_Property_Transfer_Tax_Act_Grunderwerbsteuergesetz.html,41590,501f5f1762bed55f5059aae53ad4a4f9c338c82ae92fa9e2e1e9c8df98592942,https://www.finanzen.de/,P1,phase2,2025-11-28T05:07:34.664561
