timestamp,document_name,category,boe_reference,url,local_path,status,bytes,sha256,notes
2025-11-28T04:43:02.224825,Ley Arrendamientos Urbanos,property,BOE-A-1994-26003,https://www.boe.es/buscar/act.php?id=BOE-A-1994-26003,/home/setup/if-legal-corpus/raw/spain/property/Ley Arrendamientos Urbanos.html,success,363989,79a394e889b845136269b5a32c39edeebddb58c504189957eff38d8b55e8b13e,BOE-A-1994-26003 - Spanish legal statute
2025-11-28T04:43:02.225867,Ley Hipotecaria,property,BOE-A-1946-2453,https://www.boe.es/buscar/act.php?id=BOE-A-1946-2453,/home/setup/if-legal-corpus/raw/spain/property/Ley Hipotecaria.html,success,953912,ac29ada646138052952f32b9ed4f94e8df97c2b7232c2390c938c21063858b34,BOE-A-1946-2453 - Spanish legal statute
2025-11-28T04:43:02.226068,Ley Catastro Inmobiliario,property,BOE-A-2004-4250,https://www.boe.es/buscar/act.php?id=BOE-A-2004-4250,/home/setup/if-legal-corpus/raw/spain/property/Ley Catastro Inmobiliario.html,success,18825,ea2281bc7f1d8019cec4d8c2acb08871e0cfb51c6929001a6934ca839a335d9f,BOE-A-2004-4250 - Spanish legal statute
2025-11-28T04:43:02.228745,Plan General Contabilidad,accounting,BOE-A-2007-19884,https://www.boe.es/buscar/act.php?id=BOE-A-2007-19884,/home/setup/if-legal-corpus/raw/spain/accounting/Plan General Contabilidad.html,success,1834138,3b286b45a96b67e1a2ed6839295cb2b51ca5a197ea284910770c3f938f89c980,BOE-A-2007-19884 - Spanish legal statute
2025-11-28T04:43:02.230566,PGC PYMES,accounting,BOE-A-2007-19966,https://www.boe.es/buscar/act.php?id=BOE-A-2007-19966,/home/setup/if-legal-corpus/raw/spain/accounting/PGC PYMES.html,success,1087063,e5969a64de022620293d722f26686b3ffd6a503ed468533bbad0c048952ba47f,BOE-A-2007-19966 - Spanish legal statute
2025-11-28T04:43:02.231416,Código de Comercio,accounting,BOE-A-1885-6627,https://www.boe.es/buscar/act.php?id=BOE-A-1885-6627,/home/setup/if-legal-corpus/raw/spain/accounting/Código de Comercio.html,success,677997,ecb9539b5330c4cef9770716cc963b4dd21a3fd1faf36a290061a3b86abe99b9,BOE-A-1885-6627 - Spanish legal statute
2025-11-28T04:43:02.231532,Ley Medidas contra Morosidad,accounting,BOE-A-2004-21379,https://www.boe.es/buscar/act.php?id=BOE-A-2004-21379,/home/setup/if-legal-corpus/raw/spain/accounting/Ley Medidas contra Morosidad.html,success,11589,db84a154096f635ebc532abe317df1eb7df6019d12cb5921030c595a1e4993bf,BOE-A-2004-21379 - Spanish legal statute
2025-11-28T04:43:02.231614,Ley Agencia,business,BOE-A-1992-12387,https://www.boe.es/buscar/act.php?id=BOE-A-1992-12387,/home/setup/if-legal-corpus/raw/spain/business/Ley Agencia.html,success,13503,ffe4bab622f3c72b059dbbfaed3b346186621f565d18d8780f8fc4e3924b11a6,BOE-A-1992-12387 - Spanish legal statute
2025-11-28T04:43:02.231661,Ley Sociedades de Capital,business,BOE-A-1995-7113,https://www.boe.es/buscar/act.php?id=BOE-A-1995-7113,/home/setup/if-legal-corpus/raw/spain/business/Ley Sociedades de Capital.html,success,13777,2df70273b477f61c97981cbd86411af3fa26f7f4b0fae85850cbce62f05a424a,BOE-A-1995-7113 - Spanish legal statute
2025-11-28T04:43:02.232746,GDPR_EU_679_2016,business,EU-679/2016,https://www.boe.es/doue/2016/119/L00001-00088.pdf,/home/setup/if-legal-corpus/raw/spain/business/GDPR_EU_679_2016.pdf,success,1024768,a2fa3289de2f124c92748a181ad1499411b24ee3d26c74bd12781afa43cfa481,EU-679/2016 - Spanish legal statute
